Date,Open,High,Low,Close,Adj Close,Volume,DFF
2014-01-02,1204.300048828125,1227.300048828125,1204.300048828125,1225.0,1225.0,209.0,0.08
2014-01-03,1221.699951171875,1239.0,1221.699951171875,1238.4000244140625,1238.4000244140625,142.0,0.08
2014-01-06,1232.800048828125,1247.0,1221.9000244140625,1237.800048828125,1237.800048828125,127.0,0.08
2014-01-07,1239.300048828125,1242.4000244140625,1226.300048828125,1229.4000244140625,1229.4000244140625,73.0,0.07
2014-01-08,1227.5,1227.5,1218.5999755859375,1225.300048828125,1225.300048828125,189.0,0.07
2014-01-09,1225.800048828125,1229.300048828125,1225.800048828125,1229.300048828125,1229.300048828125,7.0,0.07
2014-01-10,1235.0,1246.800048828125,1234.0,1246.699951171875,1246.699951171875,58.0,0.07
2014-01-13,1250.5999755859375,1252.699951171875,1245.5,1250.9000244140625,1250.9000244140625,46.0,0.07
2014-01-14,1251.0,1251.300048828125,1242.0,1245.199951171875,1245.199951171875,37.0,0.07
2014-01-15,1243.0999755859375,1243.199951171875,1238.0999755859375,1238.0999755859375,1238.0999755859375,68.0,0.07
2014-01-16,1239.300048828125,1242.800048828125,1239.0,1240.0,1240.0,48.0,0.07
2014-01-17,1239.699951171875,1254.300048828125,1239.699951171875,1251.699951171875,1251.699951171875,101.0,0.07
2014-01-21,1256.4000244140625,1257.5,1240.0,1242.300048828125,1242.300048828125,224.0,0.07
2014-01-22,1241.699951171875,1242.0,1239.0,1239.0,1239.0,58.0,0.07
2014-01-23,1235.199951171875,1264.199951171875,1235.199951171875,1262.5999755859375,1262.5999755859375,40.0,0.07
2014-01-24,1258.300048828125,1269.4000244140625,1258.300048828125,1264.5,1264.5,38.0,0.07
2014-01-27,1259.800048828125,1264.4000244140625,1254.4000244140625,1263.5999755859375,1263.5999755859375,92.0,0.07
2014-01-28,1257.9000244140625,1258.4000244140625,1251.0,1251.0,1251.0,20.0,0.07
2014-01-29,1262.199951171875,1262.199951171875,1262.199951171875,1262.199951171875,1262.199951171875,137028.0,0.07
2014-01-30,1267.0,1267.699951171875,1237.5,1242.199951171875,1242.199951171875,45276.0,0.07
2014-01-31,1243.5999755859375,1254.5,1238.4000244140625,1240.0999755859375,1240.0999755859375,5820.0,0.07
2014-02-03,1242.4000244140625,1266.300048828125,1241.199951171875,1260.4000244140625,1260.4000244140625,2914.0,0.07
2014-02-04,1258.4000244140625,1260.699951171875,1247.800048828125,1251.699951171875,1251.699951171875,1745.0,0.07
2014-02-05,1254.0,1273.699951171875,1253.0999755859375,1257.300048828125,1257.300048828125,1616.0,0.07
2014-02-06,1258.0,1267.0,1253.5,1257.5999755859375,1257.5999755859375,274.0,0.07
2014-02-07,1258.300048828125,1271.4000244140625,1257.9000244140625,1263.300048828125,1263.300048828125,436.0,0.06
2014-02-10,1269.5999755859375,1277.300048828125,1265.699951171875,1274.800048828125,1274.800048828125,742.0,0.07
2014-02-11,1274.0,1292.0,1273.800048828125,1290.0999755859375,1290.0999755859375,562.0,0.06
2014-02-12,1290.5,1296.199951171875,1285.5,1295.300048828125,1295.300048828125,140.0,0.07
2014-02-13,1293.300048828125,1303.5,1287.5,1300.4000244140625,1300.4000244140625,877.0,0.06
2014-02-14,1301.699951171875,1320.699951171875,1301.699951171875,1319.0,1319.0,308.0,0.06
